Symptom,Severity_Level,Severity_Score
abdominal_cramps,Low,1
abdominal_pain,High,3
acid_reflux,Low,1
anxiety,Low,1
back_pain,High,3
blisters,Low,1
bloating,Low,1
blood_in_semen,Critical,4
blood_in_urine,Critical,4
bloody_diarrhea,Critical,4
blurred_vision,Low,1
bone_fragility,Low,1
brittle_nails,Low,1
bullseye_rash,Moderate,2
burning_stomach_pain,High,3
buzzing_in_ears,Low,1
chest_discomfort,Critical,4
chest_pain,Critical,4
chest_pressure,Critical,4
chills,Low,1
chronic_pelvic_pain,High,3
circular_rash,Moderate,2
cloudy_vision,Low,1
cognitive_decline,Low,1
cold_feet,Low,1
cold_hands,Low,1
communication_difficulty,Low,1
confusion,Low,1
constipation,Low,1
cough,Low,1
cough_with_mucus,Low,1
cough_with_phlegm,Low,1
coughing_fits,Low,1
dark_urine,Low,1
decreased_urine_output,Low,1
delusions,Low,1
diarrhea,High,3
difficulty_breathing,Critical,4
difficulty_concentrating,Low,1
difficulty_getting_erection,Low,1
difficulty_paying_attention,Low,1
disorganized_thinking,Low,1
disorientation,Low,1
dizziness,Moderate,2
dry_cough,Low,1
easy_bruising,Low,1
excessive_bleeding,Low,1
excessive_daytime_sleepiness,Low,1
excessive_thirst,Low,1
extreme_fatigue,Moderate,2
extreme_mood_swings,Low,1
eye_discharge,Low,1
eye_itching,Low,1
eye_redness,Low,1
facial_pain,High,3
facial_pressure,Low,1
fatigue,Moderate,2
fever,High,3
fingers_turning_white_or_blue,Low,1
flashbacks,Low,1
flu_like_illness,Low,1
frequent_urination,Low,1
gas,Low,1
hair_loss_patches,Low,1
hallucinations,Low,1
hearing_loss,Low,1
heart_palpitations,Low,1
heartburn,Low,1
heat_intolerance,Low,1
high_body_temperature,Low,1
high_fever,High,3
hoarseness,Low,1
honey_colored_crusts,Low,1
impulsivity,Low,1
increased_thirst,Low,1
infertility,Low,1
insomnia,Low,1
irregular_periods,Low,1
itchy_skin,Low,1
joint_pain,High,3
joint_stiffness,Low,1
joint_swelling,Low,1
leg_pain,High,3
leg_redness,Low,1
leg_swelling,Low,1
light_sensitivity,Low,1
loss_of_central_vision,Low,1
loss_of_interest,Low,1
loss_of_peripheral_vision,Low,1
loss_of_voice,Low,1
loud_snoring,Low,1
low_body_temperature,Low,1
low_mood,Low,1
lump_in_testicle,Low,1
memory_loss,Low,1
muscle_aches,Low,1
muscle_pain,High,3
nasal_congestion,Low,1
nausea,Low,1
neck_swelling,Low,1
new_or_changing_mole,Low,1
night_sweats,Low,1
nightmares,Low,1
pain_near_navel_moving_to_lower_right_abdomen,High,3
pain_radiating_to_back,High,3
painful_periods,High,3
painful_rash,High,3
painful_swallowing,High,3
painful_urination,High,3
pelvic_pain,High,3
pelvic_pressure,Low,1
persistent_cough,Low,1
persistent_fatigue,Moderate,2
persistent_worry,Low,1
pimples,Low,1
racing_heart,Low,1
raised_welts,Low,1
rapid_heartbeat,Low,1
rash,Moderate,2
red_scaly_patches,Low,1
red_sores,Low,1
repetitive_behaviors,Low,1
restlessness,Low,1
ringing_in_ears,Low,1
runny_nose,Low,1
salty_tasting_skin,Low,1
seizures,Critical,4
severe_abdominal_pain,High,3
severe_headache,Low,1
severe_sore_throat,Low,1
shakiness,Low,1
sharp_chest_pain,Critical,4
shivering,Low,1
shortness_of_breath,Critical,4
skin_color_loss_patches,Low,1
skin_growths,Low,1
skin_redness,Low,1
sleep_changes,Low,1
slow_heart_rate,Low,1
slow_movement,Low,1
sneezing,Low,1
social_interaction_difficulty,Low,1
sore_throat,Low,1
spine_curvature,Low,1
stiff_muscles,Low,1
stopped_breathing_during_sleep,Critical,4
stuffy_nose,Low,1
sudden_right_side_abdominal_pain,High,3
sudden_shortness_of_breath,Critical,4
sudden_sleep_attacks,Low,1
sweating,Low,1
swollen_legs,Low,1
swollen_lymph_nodes,Low,1
swollen_tonsils,Low,1
tender_muscles,Low,1
throbbing_headache,Low,1
tiredness,Low,1
toes_turning_white_or_blue,Low,1
tremors,Low,1
trouble_seeing,Low,1
trouble_walking,Low,1
unexplained_weight_loss,Low,1
unusual_vaginal_discharge,Low,1
upper_abdominal_pain,High,3
urge_to_move_legs,Low,1
vertigo,Low,1
visible_blood_vessels_on_face,Critical,4
vision_problems,Low,1
vomiting,High,3
weak_urine_stream,Low,1
weak_voice,Low,1
weakness,Low,1
wheezing,Low,1
yellowing_of_eyes,Low,1
yellowing_of_skin,Low,1
