Disease,Description
ADHD,"A chronic condition including attention difficulty, hyperactivity, and impulsiveness."
Acne,A skin condition that occurs when your hair follicles become plugged with oil and dead skin cells.
Addisons Disease,Professional clinical description not found in database.
Alopecia Areata,Sudden hair loss that starts with one or more circular bald patches that may overlap.
Alzheimers Disease,Professional clinical description not found in database.
Anemia,A condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.
Aneurysm,A bulge or ballooning in a blood vessel in the brain or major artery.
Aortic Stenosis,"A narrowing of the aortic valve opening, restricting blood flow from the heart to the rest of the body."
Appendicitis,"A condition in which the appendix becomes inflamed and filled with pus, causing pain."
Asthma,"A condition in which your airways narrow and swell and may produce extra mucus, causing difficulty breathing."
Atrial Fibrillation,An irregular and often rapid heart rate that can increase your risk of stroke and heart failure.
Autism Spectrum Disorder,A condition related to brain development that impacts how a person perceives and socializes with others.
Bells Palsy,Professional clinical description not found in database.
Benign Prostatic Hyperplasia,Age-associated prostate gland enlargement that can cause urination difficulty.
Bipolar Disorder,A disorder associated with episodes of mood swings ranging from depressive lows to manic highs.
Bladder Cancer,A common type of cancer that begins in the cells of the bladder.
Bradycardia,"A slower than normal heart rate, usually fewer than 60 beats per minute."
Bronchitis,"Inflammation of the lining of your bronchial tubes, which carry air to and from your lungs."
Bursitis,Inflammation of the fluid-filled pads (bursae) that act as cushions at the joints.
COVID-19,"An infectious disease caused by the SARS-CoV-2 virus, affecting the respiratory system with varying severity."
Cataracts,Clouding of the normally clear lens of the eye.
Celiac Disease,"An immune reaction to eating gluten, a protein found in wheat, barley, and rye."
Chickenpox,"A highly contagious viral infection causing an itchy, blister-like rash on the skin."
Chronic Back Pain,Professional clinical description not found in database.
Chronic Fatigue Syndrome,A complex disorder characterized by extreme fatigue that lasts for at least six months.
Cirrhosis,Late-stage liver disease in which healthy liver tissue is replaced with scar tissue and the liver is permanently damaged.
Common Cold,"A viral infection of the upper respiratory tract, primarily affecting the nose and throat."
Common Warts,Professional clinical description not found in database.
Conjunctivitis,Inflammation or infection of the outer membrane of the eyeball and the inner eyelid (Pink eye).
Coronary Artery Disease,Professional clinical description not found in database.
Crohn Disease,Professional clinical description not found in database.
Cushings Syndrome,Professional clinical description not found in database.
Cystic Fibrosis,"A hereditary disorder affecting the exocrine glands, causing the production of abnormally thick mucus."
Cystitis,"Inflammation of the bladder, usually caused by a bladder infection."
Deep Vein Thrombosis,"A blood clot in a deep vein, usually in the legs."
Dehydration,A condition caused by the excessive loss of water from the body.
Dementia,A group of thinking and social symptoms that interferes with daily functioning.
Depression,A mental health disorder characterized by persistently depressed mood or loss of interest in activities.
Diabetes Type 1,A chronic condition in which the pancreas produces little or no insulin.
Diabetes Type 2,A chronic condition that affects the way the body processes blood sugar (glucose).
