Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Common Cold,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Influenza,Consult a healthcare provider,Monitor symptoms,Get adequate rest,Stay hydrated
Pneumonia,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Asthma,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Tuberculosis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
COVID-19,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Bronchitis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Strep Throat,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Sinusitis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Pertussis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
RSV Infection,Consult a healthcare provider,Monitor symptoms,Get adequate rest,Stay hydrated
Emphysema,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Cystic Fibrosis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Laryngitis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Tonsillitis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Hay Fever,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Sarcoidosis,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Pulmonary Embolism,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Sleep Apnea,Stay hydrated,Use a humidifier,Rest and sleep,Consult a doctor if breathing worsens
Legionnaires Disease,Consult a healthcare provider,Monitor symptoms,Get adequate rest,Stay hydrated
Hypertension,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Coronary Artery Disease,Consult a healthcare provider,Monitor symptoms,Get adequate rest,Stay hydrated
Heart Attack,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Stroke,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Heart Failure,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Atrial Fibrillation,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Anemia,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Iron Deficiency,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
High Cholesterol,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
Aneurysm,Seek emergency care,Stay calm and sit down,Monitor blood pressure,Follow prescribed medication
